Timestamp,First Name,Last Name,Email,Gender,Year ,Professor Name,Monday 12:40 - 2:00 PM,Monday 1:10 - 2:30 PM,Tuesday 10:40 AM - 12:00 PM,Tuesday 12:10 - 1:30 PM,Tuesday 1:40 - 3:00 PM,Additional / Alternative Times
1/26/2016 12:56:39,Tim,Marquis,tju75@wildcats.unh.edu,Male,Graduate/Other,Dr. Carrie May,PREFERRED,Possible,Possible,Impossible,PREFERRED,Tuesday after 5pm
1/27/2016 12:56:39,Tim,Marquis,tju75@wildcats.unh.edu,Male,Graduate/Other,Dr. Carrie May,PREFERRED,Possible,Possible,Impossible,PREFERRED,Tuesday after 5pm
1/28/2016 12:56:39,Timothy,M,timothy.marquis@unh.edu,Male,Senior,Dr. Carrie May,Impossible,Impossible,Impossible,Impossible,Impossible,
1/29/2016 12:56:39,Bob,Smith,bob.smith@gmail.com,Male,Freshman,Dr. Carrie May,Impossible,Impossible,Impossible,Impossible,Impossible,Fridays anytime 
1/30/2016 12:56:39,Christopher,Bryant,BooBear@gmail.com,Male,Sophomore,Dr. Carrie May,PREFERRED,Possible,Impossible,Impossible,Possible,
1/31/2016 12:56:39,chris,bauer,chris.bauer@unh.edu,Male,Sophomore,Dr. Carrie May,Possible,Possible,PREFERRED,Possible,Impossible,
2/1/2016 12:56:39,Jessica,Tavanello,Poopfarts@gmail.com,Female,Junior,Dr. Carrie May,Impossible,Impossible,Possible,PREFERRED,Impossible,
2/2/2016 12:56:39,Christopher,Bauer ,christopher.bauer@unh.edu,Male,Junior,Dr. Carrie May,Possible,Impossible,Impossible,PREFERRED,PREFERRED,
2/3/2016 12:56:39,George,Harrison,FinalyFamous@yahoo.com,Male,Freshman,Dr. Carrie May,Possible,Impossible,Impossible,Impossible,PREFERRED,
2/4/2016 12:56:39,Sarah,Smith,smith@aol.com,Female,Junior,Dr. Carrie May,Possible,Possible,PREFERRED,PREFERRED,PREFERRED,
2/5/2016 12:56:39,Justine,Suarez,suarez8@gmail.com,Female,Junior,Dr. Carrie May,Possible,Impossible,PREFERRED,Possible,Possible,
2/6/2016 12:56:39,Carlos,Hererra,LosMasterFlex@gmail.com,Male,Junior,Dr. Carrie May,Impossible,PREFERRED,Possible,PREFERRED,Impossible,
1/26/2016 13:03:56,Taylor,Armstrong,StrongArms@gmail.com,Female,Junior,Dr. Carrie May,Possible,Impossible,Impossible,PREFERRED,PREFERRED,
1/26/2016 13:04:57,Virginia,Wolfe,Wolfeypoo@aol.com,Female,Junior,Dr. Carrie May,PREFERRED,Impossible,Possible,PREFERRED,Impossible,
1/26/2016 13:06:07,Veronika,Corningstone,IKickRocks@people.com,Female,Sophomore,Dr. Carrie May,PREFERRED,Impossible,PREFERRED,Possible,Possible,
